range_start,range_end,AS_number,country_code,AS_description
111.63.82.0,111.63.82.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.83.0,111.63.84.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.63.85.0,111.63.93.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.94.0,111.63.94.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.63.95.0,111.63.111.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.112.0,111.63.118.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.119.0,111.63.120.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.121.0,111.63.122.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.123.0,111.63.141.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.142.0,111.63.166.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.167.0,111.63.178.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.179.0,111.63.180.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.181.0,111.63.203.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.204.0,111.63.208.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.209.0,111.63.211.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.212.0,111.63.237.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.238.0,111.63.251.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.252.0,111.63.255.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.64.0.0,111.64.255.255,2510,JP,INFOWEB FUJITSU LIMITED
111.65.0.0,111.65.30.255,0,None,Not routed
111.65.31.0,111.65.79.255,45143,SG,SINGTELMOBILE-AS-AP SINGTEL MOBILE INTERNET SERVICE PROVIDER Singapore
111.65.80.0,111.65.99.255,0,None,Not routed
111.65.100.0,111.65.127.255,3758,SG,SINGNET SingNet
111.65.128.0,111.65.191.255,17573,KR,SKB-MINS-AS-KR SK Broadband Co Ltd
111.65.192.0,111.65.223.255,9614,JP,OCT Oita Cable Telecom Co,ltd.
111.65.224.0,111.65.239.255,56030,NZ,VOYAGERNET-AS-AP Voyager Internet Ltd.
111.65.240.0,111.65.240.255,0,None,Not routed
111.65.241.0,111.65.253.255,45894,VN,FPTONLINE-AS-VN FPT Online JSC
111.65.254.0,111.65.254.255,0,None,Not routed
111.65.255.0,111.65.255.255,45894,VN,FPTONLINE-AS-VN FPT Online JSC
111.66.0.0,111.66.100.255,0,None,Not routed
111.66.101.0,111.66.101.255,138449,HK,SYUNET-AS-AP SIANG YU SCIENCE AND TECHNOLOGY LIMITED
111.66.102.0,111.66.178.255,0,None,Not routed
111.66.179.0,111.66.179.255,24155,TW,APBW-AS-TW Asia Pacific Broadband Wireless Communications Inc
111.66.180.0,111.66.255.255,0,None,Not routed
111.67.0.0,111.67.6.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
111.67.7.0,111.67.31.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
111.67.32.0,111.67.35.255,17666,MY,HITACHISUNWAY Unit 13-4, Block F1
111.67.36.0,111.67.37.255,0,None,Not routed
111.67.38.0,111.67.39.255,17666,MY,HITACHISUNWAY Unit 13-4, Block F1
111.67.40.0,111.67.41.255,0,None,Not routed
111.67.42.0,111.67.47.255,17666,MY,HITACHISUNWAY Unit 13-4, Block F1
111.67.48.0,111.67.63.255,17809,TW,VEETIME-TW-AP VEE TIME CORP.
111.67.64.0,111.67.72.255,45786,ID,HTSNET-AS-ID PT. Hawk Teknologi Solusi
111.67.73.0,111.67.73.255,56233,ID,ATSINDO-AS-ID PT Asia Teknologi Solusi
111.67.74.0,111.67.75.255,45786,ID,HTSNET-AS-ID PT. Hawk Teknologi Solusi
111.67.76.0,111.67.76.255,56233,ID,ATSINDO-AS-ID PT Asia Teknologi Solusi
111.67.77.0,111.67.79.255,45786,ID,HTSNET-AS-ID PT. Hawk Teknologi Solusi
111.67.80.0,111.67.81.255,55691,ID,UMN-AS-ID Universitas Multimedia Nusantara
111.67.82.0,111.67.95.255,45786,ID,HTSNET-AS-ID PT. Hawk Teknologi Solusi
111.67.96.0,111.67.97.255,45348,KH,CHUANWEI-AS-KH Regency Square, Complex B
111.67.98.0,111.67.98.255,0,None,Not routed
111.67.99.0,111.67.99.255,45348,KH,CHUANWEI-AS-KH Regency Square, Complex B
111.67.100.0,111.67.101.255,0,None,Not routed
111.67.102.0,111.67.103.255,45348,KH,CHUANWEI-AS-KH Regency Square, Complex B
111.67.104.0,111.67.104.255,0,None,Not routed
111.67.105.0,111.67.106.255,45348,KH,CHUANWEI-AS-KH Regency Square, Complex B
111.67.107.0,111.67.107.255,0,None,Not routed
111.67.108.0,111.67.111.255,45348,KH,CHUANWEI-AS-KH Regency Square, Complex B
111.67.112.0,111.67.127.255,10010,JP,TOKAI TOKAI Communications Corporation
111.67.128.0,111.67.148.255,7524,JP,HANSHIN ITEC HANKYU HANSHIN CO.,LTD.
111.67.149.0,111.67.154.255,7524,JP,HANSHIN ITEC HANKYU HANSHIN CO.,LTD.
111.67.155.0,111.67.191.255,7524,JP,HANSHIN ITEC HANKYU HANSHIN CO.,LTD.
111.67.192.0,111.67.207.255,4808,CN,CHINA169-BJ China Unicom Beijing Province Network
111.67.208.0,111.67.223.255,38676,KR,FLEXNET-AS-KR flexnetworks
111.67.224.0,111.67.255.255,10310,US,YAHOO-1
111.68.0.0,111.68.15.255,45753,HK,NETSEC-HK Netsec Limited
111.68.16.0,111.68.23.255,63997,JP,TSUKAERUNET Tsukaeru.net, Web Hosting Company, Japan
111.68.24.0,111.68.31.255,55666,ID,GMEDIA-AS-ID PT Media Sarana Data
111.68.32.0,111.68.36.255,23944,PH,SKYBB-AS-AP SKYBroadband SKYCable Corporation
111.68.37.0,111.68.37.255,59348,PH,SKYCABLE-AS-AP Skycable Corporation
111.68.38.0,111.68.42.255,23944,PH,SKYBB-AS-AP SKYBroadband SKYCable Corporation
111.68.43.0,111.68.50.255,23944,PH,SKYBB-AS-AP SKYBroadband SKYCable Corporation
111.68.51.0,111.68.63.255,23944,PH,SKYBB-AS-AP SKYBroadband SKYCable Corporation
111.68.64.0,111.68.70.255,138687,Unknown,AS138687
111.68.71.0,111.68.71.255,0,None,Not routed
111.68.72.0,111.68.72.255,138687,Unknown,AS138687
111.68.73.0,111.68.74.255,0,None,Not routed
111.68.75.0,111.68.76.255,138687,Unknown,AS138687
111.68.77.0,111.68.78.255,0,None,Not routed
111.68.79.0,111.68.80.255,138687,Unknown,AS138687
111.68.81.0,111.68.83.255,0,None,Not routed
111.68.84.0,111.68.84.255,138687,Unknown,AS138687
111.68.85.0,111.68.89.255,0,None,Not routed
111.68.90.0,111.68.90.255,138687,Unknown,AS138687
111.68.91.0,111.68.94.255,0,None,Not routed
111.68.95.0,111.68.95.255,138687,Unknown,AS138687
111.68.96.0,111.68.111.255,45773,PK,HECPERN-AS-PK PERN AS Content Servie Provider, Islamabad, Pakistan
111.68.112.0,111.68.127.255,45287,ID,VARNION-AS-ID Varnion Technology Semesta, PT
111.68.128.0,111.68.255.255,0,None,Not routed
111.69.0.0,111.69.20.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.21.0,111.69.39.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.40.0,111.69.51.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.52.0,111.69.64.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.65.0,111.69.68.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.69.0,111.69.71.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.72.0,111.69.199.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.200.0,111.69.215.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.69.216.0,111.69.255.255,23655,NZ,TWODEGREES-NZ-AS 2degrees Networks Limited
111.70.0.0,111.70.63.255,17421,Unknown,AS17421
111.70.64.0,111.70.255.255,0,None,Not routed
111.71.0.0,111.71.191.255,17421,Unknown,AS17421
111.71.192.0,111.71.192.255,0,None,Not routed
111.71.193.0,111.71.197.255,17421,Unknown,AS17421
111.71.198.0,111.71.207.255,0,None,Not routed
111.71.208.0,111.71.209.255,17421,Unknown,AS17421
111.71.210.0,111.71.211.255,0,None,Not routed
111.71.212.0,111.71.218.255,17421,Unknown,AS17421
111.71.219.0,111.71.219.255,0,None,Not routed
111.71.220.0,111.71.223.255,17421,Unknown,AS17421
111.71.224.0,111.71.224.255,0,None,Not routed
111.71.225.0,111.71.230.255,17421,Unknown,AS17421
111.71.231.0,111.71.239.255,0,None,Not routed
111.71.240.0,111.71.240.255,17421,Unknown,AS17421
111.71.241.0,111.71.241.255,0,None,Not routed
111.71.242.0,111.71.243.255,17421,Unknown,AS17421
111.71.244.0,111.71.247.255,0,None,Not routed
111.71.248.0,111.71.248.255,17421,Unknown,AS17421
111.71.249.0,111.71.253.255,0,None,Not routed
111.71.254.0,111.71.254.255,17421,Unknown,AS17421
111.71.255.0,111.71.255.255,0,None,Not routed
111.72.0.0,111.74.119.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
111.74.120.0,111.74.123.255,139201,CN,CHINANET-JIANGXI-JIUJIANG-IDC Jiangxi Jiujiang IDC
111.74.124.0,111.79.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
111.80.0.0,111.80.255.255,0,None,Not routed
111.81.0.0,111.83.255.255,17421,Unknown,AS17421
111.84.0.0,111.84.47.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.48.0,111.84.51.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.52.0,111.84.55.255,17724,TH,DTAC-AS-TH-AP Total Access Communication PLC.
111.84.56.0,111.84.97.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.98.0,111.84.101.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.102.0,111.84.111.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.112.0,111.84.112.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.113.0,111.84.127.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.128.0,111.84.136.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.137.0,111.84.137.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.138.0,111.84.138.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.139.0,111.84.139.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.140.0,111.84.140.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.141.0,111.84.141.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.142.0,111.84.142.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.143.0,111.84.151.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.152.0,111.84.152.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.153.0,111.84.153.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.154.0,111.84.154.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.155.0,111.84.157.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.158.0,111.84.159.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.160.0,111.84.175.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.176.0,111.84.176.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.177.0,111.84.177.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.178.0,111.84.181.255,17724,TH,DTAC-AS-TH-AP Total Access Communication PLC.
111.84.182.0,111.84.185.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.186.0,111.84.239.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.240.0,111.84.240.255,24378,TH,ENGTAC-AS-TH-AP Total Access Communication PLC.
111.84.241.0,111.84.248.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.249.0,111.84.254.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.84.255.0,111.84.255.255,9587,TH,DTACNETWORK-TH-AP 26th Floor 3333 Moo 14 Chai Building
111.85.0.0,111.85.255.255,4837,CN,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
111.86.0.0,111.86.127.255,2516,JP,KDDI KDDI CORPORATION
111.86.10.0,111.86.13.255,2516,JP,KDDI KDDI CORPORATION
111.86.14.0,111.86.17.255,2516,JP,KDDI KDDI CORPORATION
111.86.18.0,111.86.21.255,2516,JP,KDDI KDDI CORPORATION
111.86.22.0,111.86.26.255,2516,JP,KDDI KDDI CORPORATION
111.86.27.0,111.86.31.255,2516,JP,KDDI KDDI CORPORATION
111.86.32.0,111.86.43.255,2516,JP,KDDI KDDI CORPORATION
111.86.44.0,111.86.46.255,2516,JP,KDDI KDDI CORPORATION
111.86.47.0,111.86.58.255,2516,JP,KDDI KDDI CORPORATION
111.86.59.0,111.86.67.255,2516,JP,KDDI KDDI CORPORATION
111.86.68.0,111.86.73.255,2516,JP,KDDI KDDI CORPORATION
111.86.74.0,111.86.76.255,2516,JP,KDDI KDDI CORPORATION
111.86.77.0,111.86.82.255,2516,JP,KDDI KDDI CORPORATION
111.86.83.0,111.86.85.255,2516,JP,KDDI KDDI CORPORATION
111.86.86.0,111.86.88.255,2516,JP,KDDI KDDI CORPORATION
111.86.89.0,111.86.90.255,2516,JP,KDDI KDDI CORPORATION
111.86.91.0,111.86.92.255,2516,JP,KDDI KDDI CORPORATION
111.86.93.0,111.86.100.255,2516,JP,KDDI KDDI CORPORATION
111.86.101.0,111.86.120.255,2516,JP,KDDI KDDI CORPORATION
111.86.121.0,111.86.125.255,2516,JP,KDDI KDDI CORPORATION
111.86.126.0,111.87.255.255,2516,JP,KDDI KDDI CORPORATION
111.88.0.0,111.88.75.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.76.0,111.88.77.255,0,None,Not routed
111.88.78.0,111.88.78.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.79.0,111.88.79.255,0,None,Not routed
111.88.80.0,111.88.137.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.138.0,111.88.139.255,0,None,Not routed
111.88.140.0,111.88.143.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.144.0,111.88.159.255,38616,PK,WORLDCALL-AS-KHI Worldcall Telecom Limited
111.88.160.0,111.88.163.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.164.0,111.88.171.255,0,None,Not routed
111.88.172.0,111.88.183.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.184.0,111.88.188.255,38616,PK,WORLDCALL-AS-KHI Worldcall Telecom Limited
111.88.189.0,111.88.189.255,0,None,Not routed
111.88.190.0,111.88.191.255,38616,PK,WORLDCALL-AS-KHI Worldcall Telecom Limited
111.88.192.0,111.88.231.255,132165,PK,CONNECT-AS-AP Connect Communications
111.88.232.0,111.88.255.255,0,None,Not routed
111.89.0.0,111.89.255.255,2514,JP,INFOSPHERE NTT PC Communications, Inc.
111.90.0.0,111.90.127.255,4721,JP,JCN JCOM Co., Ltd.
111.90.128.0,111.90.142.255,45839,MY,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd
111.90.143.0,111.90.155.255,45839,MY,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd
111.90.156.0,111.90.156.255,201133,BZ,VERDINA
111.90.157.0,111.90.157.255,55639,HK,ASIAWEB-SERVICE-HK Asia Web Service Ltd
111.90.158.0,111.90.159.255,45839,MY,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd
111.90.160.0,111.90.167.255,23639,JP,NTT-BIZLINK NTT Bizlink, Inc.
111.90.168.0,111.90.175.255,45117,IN,INPL-IN-AP Ishans Network
111.90.176.0,111.90.191.255,38235,KH,MEKONGNET-ADC-AS-AP ANGKOR DATA COMMUNICATION
111.90.192.0,111.90.199.255,4775,PH,GLOBE-TELECOM-AS Globe Telecoms
111.90.200.0,111.90.213.255,132199,PH,GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
111.90.214.0,111.90.229.255,4775,PH,GLOBE-TELECOM-AS Globe Telecoms
111.90.230.0,111.90.255.255,4775,PH,GLOBE-TELECOM-AS Globe Telecoms
111.91.0.0,111.91.0.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.1.0,111.91.1.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.2.0,111.91.3.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.4.0,111.91.5.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.6.0,111.91.8.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.9.0,111.91.9.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.10.0,111.91.22.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.23.0,111.91.30.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.31.0,111.91.32.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.33.0,111.91.33.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.34.0,111.91.34.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.35.0,111.91.35.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.36.0,111.91.38.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.39.0,111.91.39.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.40.0,111.91.45.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.46.0,111.91.46.255,133982,IN,EXCITEL-AS-IN Excitel Broadband Private Limited
111.91.47.0,111.91.68.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.69.0,111.91.80.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.81.0,111.91.82.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.83.0,111.91.91.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.92.0,111.91.123.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.124.0,111.91.127.255,38457,IN,HNS-AS-AP Honesty Net Solution I Pvt Ltd
111.91.128.0,111.91.143.255,23576,KR,NHN-AS-KR NAVER Cloud Corp.
111.91.144.0,111.91.191.255,38673,Unknown,AS38673
111.91.192.0,111.91.223.255,0,None,Not routed
111.91.224.0,111.91.231.255,38571,IN,SBS-ISP-AS Star Broadband Services
111.91.232.0,111.91.235.255,45896,VN,MOBIFONEGLOBAL-AS-VN Mobifone Global JSC
111.91.236.0,111.91.239.255,131188,HK,READYSPACE-HK Global Gateway, Tsuen Wan, New Territories, Hong Kong
111.91.240.0,111.91.255.255,10000,JP,NCM Nagasaki Cable Media Inc.
111.92.0.0,111.92.127.255,17465,IN,ASIANET Cable ISP in India
111.92.128.0,111.92.159.255,45814,PK,FARIYA-PK Fariya Networks Pvt. Ltd.
111.92.160.0,111.92.161.255,0,None,Not routed
111.92.162.0,111.92.163.255,38506,ID,PIKANET-AS-ID PT Pika Media Komunika
111.92.164.0,111.92.164.255,23671,ID,JMN-AS-ID PT. Sarana InsanMuda Selaras
111.92.165.0,111.92.165.255,0,None,Not routed
111.92.166.0,111.92.166.255,23671,ID,JMN-AS-ID PT. Sarana InsanMuda Selaras
111.92.167.0,111.92.167.255,0,None,Not routed
111.92.168.0,111.92.169.255,23671,ID,JMN-AS-ID PT. Sarana InsanMuda Selaras
111.92.170.0,111.92.170.255,55655,ID,SIMS-AS-ID PT. Saranainsan Mudaselaras
111.92.171.0,111.92.173.255,0,None,Not routed
111.92.174.0,111.92.175.255,23671,ID,JMN-AS-ID PT. Sarana InsanMuda Selaras
111.92.176.0,111.92.177.255,38456,AU,SPEEDCAST-AU SPEEDCAST AUSTRALIA PTY LIMITED
111.92.178.0,111.92.178.255,4913,US,NET-CPRK
111.92.179.0,111.92.179.255,38456,AU,SPEEDCAST-AU SPEEDCAST AUSTRALIA PTY LIMITED
111.92.180.0,111.92.183.255,56050,TH,NEW-SHINE-INTERNET-TH 134 Yenchit Road
111.92.184.0,111.92.187.255,26658,US,HENGTONG-IDC-LLC
111.92.188.0,111.92.191.255,9952,Unknown,AS9952
111.92.192.0,111.92.243.255,0,None,Not routed
111.92.244.0,111.92.247.255,38638,JP,IP-CORE Ip Core Corporation
111.92.248.0,111.92.255.255,0,None,Not routed
111.93.0.0,111.93.103.255,45820,IN,TTSL-MEISISP Tata Teleservices ISP AS
111.93.104.0,111.93.104.255,0,None,Not routed
111.93.105.0,111.93.111.255,45820,IN,TTSL-MEISISP Tata Teleservices ISP AS
111.93.112.0,111.93.112.255,0,None,Not routed
111.93.113.0,111.93.207.255,45820,IN,TTSL-MEISISP Tata Teleservices ISP AS
111.93.208.0,111.93.209.255,0,None,Not routed
111.93.210.0,111.93.211.255,45820,IN,TTSL-MEISISP Tata Teleservices ISP AS
111.93.212.0,111.93.212.255,0,None,Not routed
111.93.213.0,111.93.247.255,45820,IN,TTSL-MEISISP Tata Teleservices ISP AS
111.93.248.0,111.93.248.255,0,None,Not routed
111.93.249.0,111.93.253.255,45820,IN,TTSL-MEISISP Tata Teleservices ISP AS
111.93.254.0,111.93.255.255,0,None,Not routed
111.94.0.0,111.95.243.255,23700,ID,FASTNET-AS-ID Linknet-Fastnet ASN
111.95.244.0,111.95.245.255,55794,ID,LYNX-AS-AP PT Lynx Mitra Asia
111.95.246.0,111.95.246.255,7632,ID,LINKNET-EXCHANGE-AS-ID Linknet-Exchange ASN
111.95.247.0,111.95.247.255,55794,ID,LYNX-AS-AP PT Lynx Mitra Asia
111.95.248.0,111.95.249.255,55673,ID,LINKNET-IDX-AS-ID Linknet-IDX ASN
111.95.250.0,111.95.255.255,23700,ID,FASTNET-AS-ID Linknet-Fastnet ASN
111.96.0.0,111.111.255.255,2516,JP,KDDI KDDI CORPORATION
111.112.0.0,111.113.255.255,4134,CN,CHINANET-BACKBONE No.31,Jin-rong Street
111.114.0.0,111.114.67.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.114.68.0,111.114.191.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.114.192.0,111.115.119.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.115.120.0,111.115.175.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.115.176.0,111.117.159.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.117.160.0,111.117.191.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.117.192.0,111.117.255.255,4538,CN,ERX-CERNET-BKB China Education and Research Network Center
111.118.0.0,111.118.1.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.2.0,111.118.19.255,9569,KR,HCNSEOCHOCATV-AS-KR SEOCHO CABLE SYSTEMS CO., LTD.
111.118.20.0,111.118.24.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.25.0,111.118.35.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.36.0,111.118.39.255,9762,KR,HCN-AS HYUNDAI COMMUNICATIONS NETWORK
111.118.40.0,111.118.43.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.44.0,111.118.45.255,9762,KR,HCN-AS HYUNDAI COMMUNICATIONS NETWORK
111.118.46.0,111.118.47.255,9569,KR,HCNSEOCHOCATV-AS-KR SEOCHO CABLE SYSTEMS CO., LTD.
111.118.48.0,111.118.51.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.52.0,111.118.53.255,9569,KR,HCNSEOCHOCATV-AS-KR SEOCHO CABLE SYSTEMS CO., LTD.
111.118.54.0,111.118.55.255,9762,KR,HCN-AS HYUNDAI COMMUNICATIONS NETWORK
111.118.56.0,111.118.57.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.58.0,111.118.62.255,9762,KR,HCN-AS HYUNDAI COMMUNICATIONS NETWORK
111.118.63.0,111.118.63.255,7562,KR,HCNSEOCHO-AS-KR HCN Dongjak
111.118.64.0,111.118.79.255,23584,KR,HYROADPUSAN-AS-KR PUSAN CABLE TV SYSTEM CO., LTD.
111.118.80.0,111.118.95.255,9319,KR,HCNCHUNGJU-AS-KR HCN CHUNGBUK CABLE TV SYSTEMS
111.118.96.0,111.118.111.255,10175,KR,HCNKUMHO-AS-KR Kumho Cable
111.118.112.0,111.118.127.255,7623,KR,HCNGYEONGBUK-AS-KR Gyeongbuk Cable TV
111.118.128.0,111.118.130.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
111.118.131.0,111.118.159.255,38623,KH,VIETTELCAMBODIA-AS-AP ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
111.118.160.0,111.118.175.255,55803,AU,HOSTOPIA-AU Hostopia Australia Web Pty Ltd
111.118.176.0,111.118.191.255,55470,IN,CYFUTURE-AS-IN Cyfuture India Pvt. Ltd.
111.118.192.0,111.118.195.255,38195,AU,SUPERLOOP-AS-AP Superloop
111.118.196.0,111.118.196.255,0,None,Not routed
111.118.197.0,111.118.199.255,38195,AU,SUPERLOOP-AS-AP Superloop
111.118.200.0,111.118.203.255,45110,CN,CBCNET Beijing Tian Wei Xin Tong technology corp. limited.
111.118.204.0,111.118.205.255,45110,CN,CBCNET Beijing Tian Wei Xin Tong technology corp. limited.
111.118.206.0,111.118.207.255,45110,CN,CBCNET Beijing Tian Wei Xin Tong technology corp. limited.
111.118.208.0,111.118.211.255,38813,AU,EMANTRA-AS-AP Emantra Pty Ltd
111.118.212.0,111.118.213.255,394695,US,PUBLIC-DOMAIN-REGISTRY
111.118.214.0,111.118.215.255,394695,US,PUBLIC-DOMAIN-REGISTRY
111.118.216.0,111.118.216.255,0,None,Not routed
111.118.217.0,111.118.219.255,45780,AU,BROADBANDSOLUTIONS-AS-AP Broadband Solutions Pty Ltd
111.118.220.0,111.118.223.255,56057,AU,ENTITYDATA-AU Entity Data Pty Limited
111.118.224.0,111.118.239.255,24507,AU,FFASTFILL-NET-AU Level 29, Tower Building
